Numéro de dossier,Année budgétaire,Collectivité,Nom Bénéficiaire,Numéro Siret,Objet du dossier,Montant voté,Direction,Nature de la subvention,Secteurs d'activités définies par l'association
2018_03454,2018,Ville de Paris,AMICALE DE MARINS ET DE MARINS ANCIENS COMBATTANTS DE PARIS AMMAC PARIS.,42843421110010,Demande de subventions 2018,500,DAC,Fonctionnement,Education & formation;Mémoire
2017_06549,2017,Ville de Paris,AMICALE DE MARINS ET DE MARINS ANCIENS COMBATTANTS DE PARIS AMMAC PARIS.,42843421110010,Demande d'une subvention pour l'année 2017,500,DAC,Fonctionnement,Education & formation;Mémoire
2016_06805,2016,Ville de Paris,AMICALE DE MARINS ET DE MARINS ANCIENS COMBATTANTS DE PARIS AMMAC PARIS.,42843421110010,CREATION ET MAINTENANCE D'UN SITE INTERNET + CREATION D'UN NOUVEAU BLASON,500,DAC,Fonctionnement,Education & formation;Mémoire
2013_07665,2013,Ville de Paris,DÉVELOPPEMENT DES ECHANGES ET DE LA COMMUNICATION POUR L¿INTÉGRATION CULTURELLE,4024787540029,la ville est mon école,1000,DPVI,Projet,Culture & Arts;Social;Vie et animation locale
2013_02824,2013,Ville de Paris,DÉVELOPPEMENT DES ECHANGES ET DE LA COMMUNICATION POUR L¿INTÉGRATION CULTURELLE,4024787540029,la ville est mon école,0,DPVI,Non précisée,Culture & Arts;Social;Vie et animation locale
2013_02825,2013,Ville de Paris,DÉVELOPPEMENT DES ECHANGES ET DE LA COMMUNICATION POUR L¿INTÉGRATION CULTURELLE,4024787540029,la ville est mon école,2500,DPVI,Non précisée,Culture & Arts;Social;Vie et animation locale
2013_07758,2013,Ville de Paris,DÉVELOPPEMENT DES ECHANGES ET DE LA COMMUNICATION POUR L¿INTÉGRATION CULTURELLE,4024787540029,la ville est mon école (Région),1000,DPVI,Projet,Culture & Arts;Social;Vie et animation locale
2013_03619,2013,Ville de Paris,DÉVELOPPEMENT DES ECHANGES ET DE LA COMMUNICATION POUR L¿INTÉGRATION CULTURELLE,4024787540029,la ville est mon école,0,DAC,Non précisée,Culture & Arts;Social;Vie et animation locale
2014_04328,2014,Ville de Paris,PÔLE EXPORT DE LA MUSIQUE ET DES ARTS DE NOUVELLE-CALÉDONIE (POEMART),08813180010000,Les Flèches de la Musique 2014-2015,0,DGOM,Projet,Culture & Arts
2013_07815,2013,Ville de Paris,PÔLE EXPORT DE LA MUSIQUE ET DES ARTS DE NOUVELLE-CALÉDONIE (POEMART),08813180010000,"Plateau musical «K Muzik, le meilleur de la musique Kanak»",5000,DGOM,Projet,Culture & Arts
