,Numéro de dossier,Année budgétaire,Collectivité,Nom Bénéficiaire,Numéro Siret,Objet du dossier,Montant voté,Direction,Nature de la subvention,Secteurs d'activités définies par l'association
0,2017_03280,2017,Ville de Paris,,,fonctionnement,1000,DDCT,Fonctionnement,
1,2014_00904,2014,Ville de Paris,,,fonctionnement,1100,DAC,Fonctionnement,
2,2016_07544,2016,Ville de Paris,,,fonctionnement,1000,DDCT,Fonctionnement,
3,2013_04801,2013,Ville de Paris,,,FONCTIONNEMENT,1100,DAC,Fonctionnement,
4,2016_06076,2016,Département de Paris,,,création d'un FAM pour personnes vieillissantes en situation de handicap mental,150000,DASES,Investissement,
5,2014_01467,2014,Ville de Paris,,,fonctionnement,1000,DJS,Fonctionnement,
6,2016_08951,2017,Ville de Paris,,,fonctionnement,600,DJS,Fonctionnement,
7,2015_00246,2015,Ville de Paris,,,Fonctionnement,0,DAC,Non précisée,
8,2017_08440,2017,Ville de Paris,,,Fonds du maire du 16ème arrondissement,5000,DDCT,Fonctionnement,
9,2016_02024,2016,Département de Paris,,,équipement et mobilier pour l'ouverture d'un foyer d'hébergement,60000,DASES,Investissement,
10,2013_05832,2013,Ville de Paris,,,Fonctionnement,2500,DAC,Fonctionnement,
11,2015_00257,2015,Ville de Paris,,,fonctionnement,1100,DAC,Fonctionnement,
12,2018_00180,2018,Ville de Paris,,,Demande de subvention du Comité du 8e arrdt de la FNACA de Paris,1000,DAC,Fonctionnement,
13,2017_07909,2017,Ville de Paris,,,Financement matériel d'enregistrement sur Fonds Maire 14ième,500,DDCT,Fonctionnement,
14,2017_00219,2017,Ville de Paris,,,fonctionnement,1100,DAC,Fonctionnement,
15,2016_00081,2016,Ville de Paris,,,fonctionnement,1100,DAC,Fonctionnement,
16,2015_00164,2015,Ville de Paris,,,fonctionnement,1000,DJS,Fonctionnement,
17,2015_08118,2015,Ville de Paris,,,Fonctionnement,1500,DDCT,Fonctionnement,
18,2018_00423,2018,Ville de Paris,,,Pratique sportive pour les lycéens et lycéennes du Lycée Arago,800,DJS,Fonctionnement,
19,2015_08150,2016,Ville de Paris,,,FONDS DU MAIRE DU 16ème,6000,DDCT,Fonctionnement,
20,2013_00877,2013,Ville de Paris,,,fonctionnement,1000,DJS,Fonctionnement,
21,2013_04907,2014,Ville de Paris,AMICALE DES LOCATAIRES DE LA RESIDENCE RAYMOND-LOSSERAND/VERCINGETORIX,,Subvention au titre des fonds du Maire (14e). Montant 450 €,0,DUCT,Non précisée,Défense des droits et des intérêts;Mémoire;Vie et animation locale
22,2013_00223,2013,Ville de Paris,M.I.F.A MOUVEMENT D'INITIATIVES FESTIVES D'ANIMATION,,Demande de subvention 2013 au titre de la jeunesse (Ville de Paris) - Association Mifa,0,DJS,Non précisée,Culture & Arts;Précarité & Exclusion;Vie et animation locale
23,2014_05837,2014,Département de Paris,"ARIF PARCOURS, ASSOCIATION POUR LE RECRUTEMENT, L'INSERTION ET LA FORMATION PROFESSIONNELLE",,PLVP pour les habitants des quartiers politique de la ville,0,DAE,Non précisée,Aides aux associations;Education & formation
24,2013_07055,2013,Ville de Paris,ASSOCIATION POUR LA PROMOTION DES AUTEURS ET DE LA CULTURE,,"ARE - Ateliers ""un auteur à l'école""",0,DASCO,Non précisée,Culture & Arts;Education & formation
25,2018_07426,2018,Ville de Paris,LA COMPAGNIE ABRAXAS,44336119100010,ILIADE au Théâtre Le Lucernaire,0,DAC,Non précisée,Culture & Arts
26,2019_05381,2019,Ville de Paris,LA COMPAGNIE ABRAXAS,,VIENS AVEC théâtre en appartement participatif et citoyen dans le quartier Bel Air Nord,0,DAC,Non précisée,Culture & Arts
27,2020_08924,2020,Ville de Paris,LA COMPAGNIE ABRAXAS,44336119100010,Mois d'août de la culture 2020-ILIADE,0,DAC,Non précisée,Culture & Arts
28,2019_07054,2019,Ville de Paris,LA CASSE,,AAP DASCO 2019 2020 - EXPRESS YOURSELF by LA CASSE Association MIAM,0,DASCO,Projet,Culture & Arts;Loisirs;Social
29,2019_04120,2019,Ville de Paris,LA CASSE,,SUbvention d'investissement LA CASSE 1ers secours numeriques,0,DASES,Non précisée,Culture & Arts;Loisirs;Social
30,2019_03331,2019,Ville de Paris,"EPY CENTRE, CENTRE D'ÉTUDES ET DE PRATIQUES DU YOGA",,DEMANDE DE SUBVENTION DE FINANCEMENT D'ATELIERS DE CULTURE INDIENNE,0,DJS,Non précisée,Culture & Arts;Sport;Vie et animation locale
31,2019_03333,2019,Ville de Paris,"EPY CENTRE, CENTRE D'ÉTUDES ET DE PRATIQUES DU YOGA",,DEMANDE DE SUBVENTION DE FONCTIONNEMENT COURANT,0,DJS,Non précisée,Culture & Arts;Sport;Vie et animation locale
32,2013_00742,2013,Ville de Paris,PARIS BOULOGNE OLYMPIQUE CLUB,51524423400016,fonctionnement,1000,DJS,Fonctionnement,Social;Sport;Vie et animation locale
33,2017_00913,2017,Ville de Paris,PARIS BOULOGNE OLYMPIQUE CLUB,51524423400016,PRÉPARATION AUX JEUX OLYMPIQUES 2018 ET PRATIQUE DES SPORTS  DE GLACE  POUR TOUS,1000,DJS,Projet,Social;Sport;Vie et animation locale
34,2014_00806,2014,Ville de Paris,PARIS BOULOGNE OLYMPIQUE CLUB,51524423400016,FONCTIONNEMENT,1200,DJS,Fonctionnement,Social;Sport;Vie et animation locale
35,2013_06923,2013,Ville de Paris,PARIS BOULOGNE OLYMPIQUE CLUB,51524423400016,RÉFORME DES RYTHMES ÉDUCATIFS,0,DASCO,Projet,Social;Sport;Vie et animation locale
36,2015_00994,2015,Ville de Paris,PARIS BOULOGNE OLYMPIQUE CLUB,51524423400016,fonctionnement,1000,DJS,Fonctionnement,Social;Sport;Vie et animation locale
37,2016_01052,2016,Ville de Paris,PARIS BOULOGNE OLYMPIQUE CLUB,51524423400016,fonctionnement,1000,DJS,Fonctionnement,Social;Sport;Vie et animation locale
38,2014_06761,2014,Ville de Paris,PARIS BOULOGNE OLYMPIQUE CLUB,51524423400016,Aide exceptionnelle déplacement à Milan,0,DJS,Non précisée,Social;Sport;Vie et animation locale
39,2019_01864,2019,Ville de Paris,PARIS BOULOGNE OLYMPIQUE CLUB,,sports de glace pour tous & sports compétitions,0,DJS,Non précisée,Social;Sport;Vie et animation locale
40,2021_05305,2021,Ville de Paris,PARIS BOULOGNE OLYMPIQUE CLUB,51524423400016,SPORT DE GLACE POUR TOUS ET JEUX OLYMPIQUE D'HIVER 2022,1000,DJS,Fonctionnement,Social;Sport;Vie et animation locale
41,2018_02138,2018,Ville de Paris,PARIS BOULOGNE OLYMPIQUE CLUB,51524423400016,fonctionnement,0,DJS,Non précisée,Social;Sport;Vie et animation locale
42,2013_03750,2013,Ville de Paris,MAACASSO,,Financement du Festival du Film d'Art - Nos Yeux Grands Ouverts,0,DAC,Non précisée,Culture & Arts
43,2013_03751,2013,Ville de Paris,MAACASSO,,Financement du Festival du Film d'Art - Nos Yeux Grands Ouverts,0,DAE,Non précisée,Culture & Arts
44,2013_06857,2013,Ville de Paris,LE CERCLE DES AMIS D'UN AIR DE FAMILLE,,"ARE-Atelier danse élémentaire, Atelier Danse maternelle, atelier Mime",0,DASCO,Non précisée,Culture & Arts;Loisirs;Sport
45,2013_06266,2013,Ville de Paris,ASSOCIATION PUR LA DIFFUSION INTERNATIONALE DE LIVRES OUVRAGES REVUES,,Atelier culturel : Lire en français dans toutes les couleurs du monde,0,DASCO,Non précisée,Culture & Arts;Education & formation;Relations internationales
46,2019_07055,2019,Ville de Paris,LES ATELIERS DU FÉMINISME POPULAIRE,81384724100011,FCLPE2019 CHEFFES DE PARIS ET D'AILLEURS Mise en lumière des femmes européennes ¿¿Cheffes en cuisi,0,DGRI,Non précisée,Défense des droits et des intérêts;Emploi;Précarité & Exclusion
47,2019_09240,2020,Ville de Paris,LES ATELIERS DU FÉMINISME POPULAIRE,,Girls Academy - Conceptrices et développeuses d¿applications Web et Mobiles,0,DAE,Non précisée,Défense des droits et des intérêts;Emploi;Précarité & Exclusion
